shop_name,city,state,latitude,longitude,address,phone_number,rating,rating_count
Kamit Ayurvedic Store,Lucknow,Uttar Pradesh,26.8575628,81.0012004,"2/470, Neelkanth Road, Vivek Khand 2, Gomti Nagar, Lucknow, Uttar Pradesh 226010",+91 63882 48528,5.0,12
Atul Homeopathic & Ayurvedic Store,Lucknow,Uttar Pradesh,26.8483786,80.9490611,"39/54, Ramtirth Marg, Narhi Bazaar, Hazratganj, Lucknow, Uttar Pradesh 226001",+91 93353 27751,4.4,73
Ayurvedicmall,Kochi,Kerala,9.9973339,76.3018552,"Infopark TBC, Kaloor JNI Stadium, Kaloor, Kochi, Kerala 682017",+91 94971 99884,4.5,17
Saraswathy Stores - Ayurvedic Medicine & Herbal,Kochi,Kerala,9.96725,76.2994699,"Shop No.10, Old Market, Sahodaran Ayyappan Rd, Kadavanthra, Kochi, Kerala 682020",+91 98465 98466,4.6,16
Ayurvedic Medicine Shop,Kochi,Kerala,9.9691598,76.3178893,"X899+M56, Vyttila, Kochi, Kerala 682019",,4.4,8
Vijaya Ayurvedic Pharmacy,Kochi,Kerala,9.9655101,76.2930085,"Near Manorama Junction, Karshaka Rd, Panampilly Nagar, Kochi, Kerala 682016",+91 80894 59178,4.7,32
Pathanjali Herbal Extracts,Kochi,Kerala,9.9633131,76.2972643,"KVG-185, KV Nagar, Panampilly Nagar, Kochi, Kerala 682036",+91 99954 24999,4.5,4
Kottakkal Arya Vaidya Sala,Kochi,Kerala,9.9678697,76.3134811,"First Floor, Metro Pillar 841, Sahodaran Ayyappan Rd, Vyttila, Kochi, Kerala 682019",+91 94476 08219,4.5,15
Dr. Arogya Ayurveda,Chandigarh,Punjab,30.7452514,76.7939067,"SCO 174-175, 9D, Sector 9, Chandigarh 160009",+91 91712 92712,4.9,9
National Enterprises - Ayurvedic Medicines,Chandigarh,Chandigarh,30.7373507,76.7494589,"SCO 177, Sector 37 C, Chandigarh 160036",,4.4,135
Ayurshakha,Chandigarh,Chandigarh,30.736252,76.7963551,"PQPW+GG5, Madhya Marg, Sector 8C, Chandigarh 160009",,4.8,44
Patiala Ayurvedic Pharmacy,Chandigarh,Chandigarh,30.7252183,76.795993,"1, SCO 2, Sukhna Path, Sector 27D, Chandigarh 160019",+91 172 507 6448,4.5,238
Amar Sales,Chandigarh,Chandigarh,30.7057637,76.7636312,"Shop No. 233, Sukhna Path, Burail, Sector 45-B, Chandigarh 160047",+91 98141 00360,4.5,213
Ramgopal Ayurveda,Chandigarh,Chandigarh,30.7048697,76.7584324,"SCO-112-113, Burail, Ekta Market, Sector 45C, Chandigarh 160047",+91 97799 66966,4.4,51
Dhanwantry Ayurvedic Shop,Chandigarh,Chandigarh,30.6996579,76.7673111,"Dhanwantry Ayurvedic College, Chandi Path, Sector 46, Chandigarh 160047",+91 79884 78380,4.5,20
Shree Jee Ayurveda,Bhopal,Madhya Pradesh,23.2343901,77.4414749,"B-80, Gautam Nagar, Housing Board Colony, Bhopal, Madhya Pradesh 462011",+91 87707 41104,4.8,76
Rigved Ayurvedam,Bhopal,Madhya Pradesh,23.2652503,77.4044344,"F-19, 1st Floor, Dawa Bazar, Ibrahimganj, Bhopal, Madhya Pradesh 462001",+91 98931 37303,5.0,60
Kanishk Ayurvedic Store,Bhopal,Madhya Pradesh,23.2313878,77.4334134,"Plot No.1, Service Rd, Anna Nagar, Maharana Pratap Nagar, Bhopal, Madhya Pradesh 462011",+91 98270 10185,4.7,3
Shri Laxmi Aushdhi Bhandar,Bhopal,Madhya Pradesh,23.2373227,77.4014985,"29, Malviya Nagar New Market, Roshanpura, Bhopal, Madhya Pradesh 462003",+91 755 255 1694,4.7,49
Shri Kailash Ayurvedic Stores,Bhopal,Madhya Pradesh,23.2374683,77.4012878,"29, Roshanpura Square, New Market, Malviya Nagar, Bhopal, Madhya Pradesh 462003",+91 93031 31913,3.4,12
Bhagwati Ayurved,Patna,Bihar,25.6178315,85.112648,"Shri Hari Radha Apartment, Sardar Patel Path, Boring Road, Anandpuri, Patna, Bihar 800013",+91 81021 55655,4.9,327
Satayasha Ayurvedic Herbal IMC Store,Patna,Bihar,25.5880908,85.1439184,"H4QV+6HM, Renu Kunj, Ashok Nagar, Lohia Nagar, Patna, Bihar 800020",+91 87094 58193,5.0,2
Jeevan Aayurved Bhawan,Patna,Bihar,25.5859349,85.1617765,"Saketpuri Mahavir Nagar, Kankarbagh, Hanuman Nagar, Patna, Bihar 800026",+91 78708 92120,4.3,3
